Date : 2026-07-16 13:33:02
Directory : d:\HDSP_HYBRID\vendor-portal
Total : 204 files,  -53705 codes, -1481 comments, -2467 blanks, all -57653 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\HDSP_HYBRID\frontend\src\app\(auth)\setup\page.tsx                                                     | TypeScript JSX     |       -202 |         -4 |        -20 |       -226 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\attendance\monitoring\page.tsx                                 | TypeScript JSX     |       -424 |          0 |        -26 |       -450 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\displays\page.tsx                                          | TypeScript JSX     |       -870 |        -20 |        -74 |       -964 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\emergency\page.tsx                                         | TypeScript JSX     |       -136 |          0 |        -16 |       -152 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\groups\page.tsx                                            | TypeScript JSX     |       -135 |          0 |        -19 |       -154 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\media\page.tsx                                             | TypeScript JSX     |       -294 |         -2 |        -23 |       -319 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\monitoring\page.tsx                                        | TypeScript JSX     |       -245 |         -1 |        -24 |       -270 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\[id]\page.tsx                                    | TypeScript JSX     |       -612 |        -14 |        -52 |       -678 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\playlists\page.tsx                                         | TypeScript JSX     |       -149 |          0 |        -13 |       -162 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\cms\settings\page.tsx                                          | TypeScript JSX     |       -107 |          0 |        -14 |       -121 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\dashboard\page.tsx                                             | TypeScript JSX     |       -634 |        -23 |        -36 |       -693 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\[id]\page.tsx                                  | TypeScript JSX     |       -808 |        -19 |        -81 |       -908 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\assessments\page.tsx                                       | TypeScript JSX     |       -267 |         -3 |        -24 |       -294 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\discharge\[id]\page.tsx                                    | TypeScript JSX     |       -455 |         -3 |        -17 |       -475 |
