"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "Docker", "TypeScript JSX", "JSON", "YAML", "XML", "comment", "blank", "total"
"d:\HDSP_HYBRID\frontend\src\lib\api\his.api.ts", "TypeScript", -138, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20, -160
"d:\HDSP_HYBRID\frontend\src\lib\api\license.api.ts", "TypeScript", -78, 0, 0, 0, 0, 0, 0, 0, 0, -5, -15, -98
"d:\HDSP_HYBRID\frontend\src\lib\api\loyalty.api.ts", "TypeScript", -140, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25, -166
"d:\HDSP_HYBRID\frontend\src\lib\api\notification.api.ts", "TypeScript", -69, 0, 0, 0, 0, 0, 0, 0, 0, -2, -13, -84
"d:\HDSP_HYBRID\frontend\src\lib\api\reports.api.ts", "TypeScript", -66, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9, -76
"d:\HDSP_HYBRID\frontend\src\lib\api\settings.api.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"d:\HDSP_HYBRID\frontend\src\lib\api\users.api.ts", "TypeScript", -92, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -113
"d:\HDSP_HYBRID\frontend\src\lib\audio\tokenAudio.ts", "TypeScript", -217, 0, 0, 0, 0, 0, 0, 0, 0, -107, -53, -377
"d:\HDSP_HYBRID\frontend\src\lib\generateId.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, -15, -1, -33
"d:\HDSP_HYBRID\frontend\src\lib\hooks\useDebounce.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"d:\HDSP_HYBRID\frontend\src\lib\hooks\useFullscreenToggle.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, 0, 0, -6, -4, -34
"d:\HDSP_HYBRID\frontend\src\lib\hooks\useTokenSocket.ts", "TypeScript", -218, 0, 0, 0, 0, 0, 0, 0, 0, -45, -40, -303
"d:\HDSP_HYBRID\frontend\src\lib\store\auth.store.ts", "TypeScript", -67, 0, 0, 0, 0, 0, 0, 0, 0, -10, -9, -86
"d:\HDSP_HYBRID\frontend\src\providers\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -136, 0, 0, 0, -30, -23, -189
"d:\HDSP_HYBRID\frontend\src\providers\QueryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, -4, -34
"d:\HDSP_HYBRID\frontend\src\providers\SessionTimeoutProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -155, 0, 0, 0, -12, -29, -196
"d:\HDSP_HYBRID\frontend\src\providers\SnackbarProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -3, -16
"d:\HDSP_HYBRID\frontend\src\providers\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -355, 0, 0, 0, -28, -32, -415
"d:\HDSP_HYBRID\frontend\tsconfig.json", "JSON with Comments", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, -1, -28
"d:\HDSP_HYBRID\vendor-portal\SETUP.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 35, 117
"d:\HDSP_HYBRID\vendor-portal\backend\Dockerfile", "Docker", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\HDSP_HYBRID\vendor-portal\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5888, 0, 0, 0, 1, 5889
"d:\HDSP_HYBRID\vendor-portal\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"d:\HDSP_HYBRID\vendor-portal\backend\src\app.module.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"d:\HDSP_HYBRID\vendor-portal\backend\src\config\database.config.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\HDSP_HYBRID\vendor-portal\backend\src\database\migrations\1783325049767-RenameWebhookSecret.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\HDSP_HYBRID\vendor-portal\backend\src\database\migrations\1783341244304-AddInstanceSecretToHospital.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\HDSP_HYBRID\vendor-portal\backend\src\database\migrations\1783347106019-CreateHospitalSettings.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\HDSP_HYBRID\vendor-portal\backend\src\main.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\auth.controller.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 46
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\auth.module.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\auth.service.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 122
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\decorators\public.decorator.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\entities\vendor-user.entity.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 39
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\guards\jwt-auth.guard.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\auth\strategies\jwt.strategy.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\hdsp-user.entity.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 49
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\his-config-template.entity.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 35
"d:\HDSP_HYBRID\vendor-portal\backend\src\modules\hospitals\entities\his-schema-config.entity.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 62
